AI Setting	AI设定
Chatter	聊天
Turned On/Off Computer Chatter.	开/关聊?
Turned On/Off Debug Mode.	开/关侦?
Turned On/Off Balancing Mode.	开/关平? ��
Show	显示信息
Current Strategy	当前战术
Showing current strategy.	显示当前战术
Strategy names	战术名称
Change Strategy	改变战术
Changes current strategy.	改变当前战术
Cancel Orders	取消命令
All Orders	全部命令
I have Canceled All commands you have given me so far.	我已经取消布置的全部命令
Attack Orders	攻击
I have Canceled all Attack commands you have given me so far.	我已经取消布置的全部攻击命令
Build Orders	建设
I have Canceled all Build commands you have given me so far.	我已经取消布置的全部建设命令
Queue	命令队列
I have Canceled all Queued commands you have given me so far.	我已经取消布置的全部下一步命?
I will Stop any current Attack.	我将停止当前的全部进?
I will not Attack Anything.	我不会攻击任何目?
I will not Attack Creeps.	我不会攻击中立生?
I will not Attack Enemies.	我不会攻击敌方军?
I will build Air2Air units now.	我将训练空对空单?
I will build Air2Ground units now.	我将训练空对地单?
I will build Ground2Air units now.	我将训练地对空单?
I will build Ground2Ground units now.	我将训练地对地单?
I will build farms now.	我要建造农场了
I will build towers now.	我要建造箭塔了
I will Attack/Guard the location of current screen position.	我将攻击/防守当前位置
I will Attack/Guard the currently selected unit.	我将攻击/防守选定单位
I will Attack/Guard the specified player.	我将攻击/防守选定玩家
I have Started or Restarted your Queued commands.	我已经布置或重新布置你的下一步行?
I have Paused your Queued commands.	我已经暂停布置你的下一步行?
I have Unpaused your Queued commands.	我已经开启布置给你下一步行?
I have Removed your last Queued command.	我已经取消最后布置给你的下一步行?
I have Queued the Attack/Guard location of current screen position.	我已经设定攻?防守当前位置为下一步行?
I have Queued the currently selected unit to Attack/Guard.	我已经设定选择当前单位为下一步行?
Turned On/Off Automatic Strategy Change.	开?关闭自动判断
Restrict	限制
No Attacks	无攻?
No Creep Attacks	无中立生物攻?
No Enemy Attacks	无敌人攻?
Farms	农场
Towers	箭塔
Current screen	当前地点
Selected unit	选择单位
Towerrush (Orc only)	塔RUA
Start/Restart	开?重新开?
No Strategy Change	按计划行?
Build	建?
Attack Here	攻击
Unpause	继续
Undo	重做
attack select	攻击选择
Air vs. Air	空�?
Air vs. Ground	空�?
Ground vs. Air	地�?
Ground vs. Ground	地�?
